target_node,root_cause_node,issue_type,severity,affected_column,timestamp,paths,IssueNumber,DetailedPathDescription,Summary
AWS::StepFunctions::StateMachine,StepFnStateMachine76D362E8-T67Tg48ke8oK_client,latency,0.0400838908941461,latency_p99,2024-05-26 22:57:15.308883,"['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function']",2_15,"The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_readDDB_AWS::Lambda, to lambda_step_readDDB_AWS::Lambda::Function.","On 2024-05-26 22:57:15.308883, a latency issue at target node AWS::StepFunctions::StateMachine, primarily caused by root cause node StepFnStateMachine76D362E8-T67Tg48ke8oK_client, affects latency_p99 with a severity of 0.040. The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_readDDB_AWS::Lambda, to lambda_step_readDDB_AWS::Lambda::Function."
PetSite,AWS::StepFunctions::StateMachine,latency,0.0692883160620731,latency_p90,2024-05-26 22:57:13.925210,"['PetSite', 'AWS::StepFunctions::StateMachine']",2_9,The path of the issue is from PetSite to AWS::StepFunctions::StateMachine.,"On 2024-05-26 22:57:13.925210, a latency issue at target node PetSite, primarily caused by root cause node AWS::StepFunctions::StateMachine, affects latency_p90 with a severity of 0.069. The path of the issue is from PetSite to AWS::StepFunctions::StateMachine."
PetSearch_AWS::ECS::Fargate,PetSearch_client,latency,0.0427300431490554,latency_p99,2024-05-26 22:57:07.522789,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', 'petInfo_AWS::DynamoDB::Table']",1_31,"The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to petInfo_AWS::DynamoDB::Table.","On 2024-05-26 22:57:07.522789, a latency issue at target node PetSearch_AWS::ECS::Fargate, primarily caused by root cause node PetSearch_client, affects latency_p99 with a severity of 0.043. The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to petInfo_AWS::DynamoDB::Table."
PetSearch_AWS::ECS::Fargate,PetSearch_client,latency,0.1202972323277827,latency_Average,2024-05-26 22:56:58.791903,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', 'petInfo_AWS::DynamoDB::Table']",0_42,"The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to petInfo_AWS::DynamoDB::Table.","On 2024-05-26 22:56:58.791903, a latency issue at target node PetSearch_AWS::ECS::Fargate, primarily caused by root cause node PetSearch_client, affects latency_Average with a severity of 0.120. The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to petInfo_AWS::DynamoDB::Table."
petInfo_AWS::DynamoDB::Table,lambdastatusupdater_AWS::Lambda::Function,latency,0.0687585714168857,latency_p99,2024-05-26 22:57:15.538143,"['lambdastatusupdater_AWS::Lambda::Function', 'petInfo_AWS::DynamoDB::Table']",2_16,The path of the issue is from lambdastatusupdater_AWS::Lambda::Function to petInfo_AWS::DynamoDB::Table.,"On 2024-05-26 22:57:15.538143, a latency issue at target node petInfo_AWS::DynamoDB::Table, primarily caused by root cause node lambdastatusupdater_AWS::Lambda::Function, affects latency_p99 with a severity of 0.069. The path of the issue is from lambdastatusupdater_AWS::Lambda::Function to petInfo_AWS::DynamoDB::Table."
AWS::StepFunctions::StateMachine,PetSite,latency,0.1095758081655961,availability_Average,2024-05-26 22:57:14.153348,"['PetSite', 'AWS::StepFunctions::StateMachine']",2_10,The path of the issue is from PetSite to AWS::StepFunctions::StateMachine.,"On 2024-05-26 22:57:14.153348, a latency issue at target node AWS::StepFunctions::StateMachine, primarily caused by root cause node PetSite, affects availability_Average with a severity of 0.110. The path of the issue is from PetSite to AWS::StepFunctions::StateMachine."
lambda_step_priceGreaterThan55_AWS::Lambda,AWS::StepFunctions::StateMachine,latency,0.0999655357517684,latency_p90,2024-05-26 22:57:10.258729,"['PetSite', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda']",1_43,"The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine, to lambda_step_priceGreaterThan55_AWS::Lambda.","On 2024-05-26 22:57:10.258729, a latency issue at target node lambda_step_priceGreaterThan55_AWS::Lambda, primarily caused by root cause node AWS::StepFunctions::StateMachine, affects latency_p90 with a severity of 0.100. The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine, to lambda_step_priceGreaterThan55_AWS::Lambda."
PetSite,SimpleNotificationService_AWS::SimpleNotificationService,latency,0.1234868041866704,availability_Average,2024-05-26 22:57:02.368604,"['PetSite', 'SimpleNotificationService_AWS::SimpleNotificationService']",1_8,The path of the issue is from PetSite to SimpleNotificationService_AWS::SimpleNotificationService.,"On 2024-05-26 22:57:02.368604, a latency issue at target node PetSite, primarily caused by root cause node SimpleNotificationService_AWS::SimpleNotificationService, affects availability_Average with a severity of 0.123. The path of the issue is from PetSite to SimpleNotificationService_AWS::SimpleNotificationService."
lambdastatusupdater_AWS::Lambda::Function,invalid_AWS::DynamoDB::Table,latency,0.1109433370113091,latency_p99,2024-05-26 22:57:21.888747,"['lambdastatusupdater_AWS::Lambda::Function', 'invalid_AWS::DynamoDB::Table']",2_44,The path of the issue is from lambdastatusupdater_AWS::Lambda::Function to invalid_AWS::DynamoDB::Table.,"On 2024-05-26 22:57:21.888747, a latency issue at target node lambdastatusupdater_AWS::Lambda::Function, primarily caused by root cause node invalid_AWS::DynamoDB::Table, affects latency_p99 with a severity of 0.111. The path of the issue is from lambdastatusupdater_AWS::Lambda::Function to invalid_AWS::DynamoDB::Table."
PetSearch_client,PetSearch_AWS::ECS::Fargate,latency,0.0416605407866501,latency_p95,2024-05-26 22:56:50.275943,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",0_6,"The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.","On 2024-05-26 22:56:50.275943, a latency issue at target node PetSearch_client, primarily caused by root cause node PetSearch_AWS::ECS::Fargate, affects latency_p95 with a severity of 0.042. The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote."
PetSearch_AWS::ECS::Fargate,petlistadoptions_AWS::ECS::Fargate,latency,0.080154639450444,latency_p99,2024-05-26 22:56:49.378629,"['petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate']",0_2,The path of the issue is from petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate.,"On 2024-05-26 22:56:49.378629, a latency issue at target node PetSearch_AWS::ECS::Fargate, primarily caused by root cause node petlistadoptions_AWS::ECS::Fargate, affects latency_p99 with a severity of 0.080. The path of the issue is from petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate."
PetSearch_AWS::ECS::Fargate,petInfo_AWS::DynamoDB::Table,latency,0.1192552927165656,latency_Average,2024-05-26 22:57:07.298989,"['PetSearch_AWS::ECS::Fargate', 'petInfo_AWS::DynamoDB::Table']",1_30,The path of the issue is from PetSearch_AWS::ECS::Fargate to petInfo_AWS::DynamoDB::Table.,"On 2024-05-26 22:57:07.298989, a latency issue at target node PetSearch_AWS::ECS::Fargate, primarily caused by root cause node petInfo_AWS::DynamoDB::Table, affects latency_Average with a severity of 0.119. The path of the issue is from PetSearch_AWS::ECS::Fargate to petInfo_AWS::DynamoDB::Table."
PetSite,lambda_step_readDDB_AWS::Lambda,latency,0.1046254865961713,latency_Average,2024-05-26 22:57:20.996180,"['PetSite', 'AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda']",2_40,"The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine, to lambda_step_readDDB_AWS::Lambda.","On 2024-05-26 22:57:20.996180, a latency issue at target node PetSite, primarily caused by root cause node lambda_step_readDDB_AWS::Lambda, affects latency_Average with a severity of 0.105. The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine, to lambda_step_readDDB_AWS::Lambda."
PetSite,lambda_step_priceLessThan55_AWS::Lambda,latency,0.0740807861251694,availability_Average,2024-05-26 22:56:50.051799,"['PetSite', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda']",0_5,"The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine, to lambda_step_priceLessThan55_AWS::Lambda.","On 2024-05-26 22:56:50.051799, a latency issue at target node PetSite, primarily caused by root cause node lambda_step_priceLessThan55_AWS::Lambda, affects availability_Average with a severity of 0.074. The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine, to lambda_step_priceLessThan55_AWS::Lambda."
lambdastatusupdater_AWS::Lambda::Function,lambdastatusupdater_AWS::Lambda,latency,0.0834240786524254,latency_p99,2024-05-26 22:56:58.541967,"['PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function']",0_41,"The path of the issue is from PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage, through lambdastatusupdater_AWS::Lambda, to lambdastatusupdater_AWS::Lambda::Function.","On 2024-05-26 22:56:58.541967, a latency issue at target node lambdastatusupdater_AWS::Lambda::Function, primarily caused by root cause node lambdastatusupdater_AWS::Lambda, affects latency_p99 with a severity of 0.083. The path of the issue is from PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage, through lambdastatusupdater_AWS::Lambda, to lambdastatusupdater_AWS::Lambda::Function."
AWS::StepFunctions::StateMachine,StepFnStateMachine76D362E8-T67Tg48ke8oK_client,latency,0.0971095980972713,latency_p99,2024-05-26 22:56:49.606500,"['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda']",0_3,"The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine, to lambda_step_priceLessThan55_AWS::Lambda.","On 2024-05-26 22:56:49.606500, a latency issue at target node AWS::StepFunctions::StateMachine, primarily caused by root cause node StepFnStateMachine76D362E8-T67Tg48ke8oK_client, affects latency_p99 with a severity of 0.097. The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine, to lambda_step_priceLessThan55_AWS::Lambda."
lambda_step_readDDB_AWS::Lambda,AWS::StepFunctions::StateMachine,latency,0.0655888634390587,latency_p50,2024-05-26 22:57:20.550096,"['AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']",2_38,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function, to lambda_step_readDDB.","On 2024-05-26 22:57:20.550096, a latency issue at target node lambda_step_readDDB_AWS::Lambda, primarily caused by root cause node AWS::StepFunctions::StateMachine, affects latency_p50 with a severity of 0.066. The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function, to lambda_step_readDDB."
petlistadoptions_AWS::ECS::Fargate,PetSite,latency,0.1197158405130408,latency_p95,2024-05-26 22:57:15.768053,"['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",2_17,"The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.","On 2024-05-26 22:57:15.768053, a latency issue at target node petlistadoptions_AWS::ECS::Fargate, primarily caused by root cause node PetSite, affects latency_p95 with a severity of 0.120. The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote."
lambda_step_readDDB_AWS::Lambda,DynamoDB_AWS::DynamoDB,latency,0.0961310575990826,latency_p99,2024-05-26 22:56:53.531922,"['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']",0_20,"The path of the issue is from lambda_step_readDDB_AWS::Lambda, through lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to DynamoDB_AWS::DynamoDB.","On 2024-05-26 22:56:53.531922, a latency issue at target node lambda_step_readDDB_AWS::Lambda, primarily caused by root cause node DynamoDB_AWS::DynamoDB, affects latency_p99 with a severity of 0.096. The path of the issue is from lambda_step_readDDB_AWS::Lambda, through lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to DynamoDB_AWS::DynamoDB."
execute-api.us-west-2.amazonaws.com_remote,payforadoption_AWS::ECS::Container,latency,0.0340672515021121,latency_p90,2024-05-26 22:57:04.376663,"['payforadoption_AWS::ECS::Container', 'execute-api.us-west-2.amazonaws.com_remote']",1_17,The path of the issue is from payforadoption_AWS::ECS::Container to execute-api.us-west-2.amazonaws.com_remote.,"On 2024-05-26 22:57:04.376663, a latency issue at target node execute-api.us-west-2.amazonaws.com_remote, primarily caused by root cause node payforadoption_AWS::ECS::Container, affects latency_p90 with a severity of 0.034. The path of the issue is from payforadoption_AWS::ECS::Container to execute-api.us-west-2.amazonaws.com_remote."
lambda_step_readDDB_AWS::Lambda::Function,DynamoDB_AWS::DynamoDB,latency,0.1179361803247173,latency_p50,2024-05-26 22:56:53.055769,"['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']",0_18,"The path of the issue is from lambda_step_readDDB_AWS::Lambda::Function, through lambda_step_readDDB, to DynamoDB_AWS::DynamoDB.","On 2024-05-26 22:56:53.055769, a latency issue at target node lambda_step_readDDB_AWS::Lambda::Function, primarily caused by root cause node DynamoDB_AWS::DynamoDB, affects latency_p50 with a severity of 0.118. The path of the issue is from lambda_step_readDDB_AWS::Lambda::Function, through lambda_step_readDDB, to DynamoDB_AWS::DynamoDB."
AWS::StepFunctions::StateMachine,lambda_step_priceGreaterThan55_AWS::Lambda,latency,0.0705151634202357,availability_Average,2024-05-26 22:57:14.606051,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda']",2_12,The path of the issue is from AWS::StepFunctions::StateMachine to lambda_step_priceGreaterThan55_AWS::Lambda.,"On 2024-05-26 22:57:14.606051, a latency issue at target node AWS::StepFunctions::StateMachine, primarily caused by root cause node lambda_step_priceGreaterThan55_AWS::Lambda, affects availability_Average with a severity of 0.071. The path of the issue is from AWS::StepFunctions::StateMachine to lambda_step_priceGreaterThan55_AWS::Lambda."
AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,PetSearch_AWS::ECS::Fargate,latency,0.0392190767933925,latency_p95,2024-05-26 22:57:09.550546,"['petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']",1_40,"The path of the issue is from petlistadoptions_AWS::ECS::Fargate, through PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement.","On 2024-05-26 22:57:09.550546, a latency issue at target node AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement, primarily caused by root cause node PetSearch_AWS::ECS::Fargate, affects latency_p95 with a severity of 0.039. The path of the issue is from petlistadoptions_AWS::ECS::Fargate, through PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement."
lambdastatusupdater_AWS::Lambda::Function,lambdastatusupdater_AWS::Lambda,latency,0.0342180474866998,latency_p90,2024-05-26 22:57:20.773199,"['lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function']",2_39,The path of the issue is from lambdastatusupdater_AWS::Lambda to lambdastatusupdater_AWS::Lambda::Function.,"On 2024-05-26 22:57:20.773199, a latency issue at target node lambdastatusupdater_AWS::Lambda::Function, primarily caused by root cause node lambdastatusupdater_AWS::Lambda, affects latency_p90 with a severity of 0.034. The path of the issue is from lambdastatusupdater_AWS::Lambda to lambdastatusupdater_AWS::Lambda::Function."
169.254.170.2_remote,PetSearch_AWS::ECS::Fargate,latency,0.0914987720072779,latency_p95,2024-05-26 22:57:05.948571,"['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",1_24,"The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.","On 2024-05-26 22:57:05.948571, a latency issue at target node 169.254.170.2_remote, primarily caused by root cause node PetSearch_AWS::ECS::Fargate, affects latency_p95 with a severity of 0.091. The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote."
lambda_step_priceLessThan55,lambda_step_priceLessThan55_AWS::Lambda::Function,latency,0.1213646141390009,latency_p50,2024-05-26 22:57:21.215873,"['PetSite', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function', 'lambda_step_priceLessThan55']",2_41,"The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda to lambda_step_priceLessThan55_AWS::Lambda::Function, to lambda_step_priceLessThan55.","On 2024-05-26 22:57:21.215873, a latency issue at target node lambda_step_priceLessThan55, primarily caused by root cause node lambda_step_priceLessThan55_AWS::Lambda::Function, affects latency_p50 with a severity of 0.121. The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda to lambda_step_priceLessThan55_AWS::Lambda::Function, to lambda_step_priceLessThan55."
AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,petlistadoptions_AWS::ECS::Fargate,latency,0.0946171698505346,latency_p99,2024-05-26 22:57:04.825825,"['petlistadoptions_client', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']",1_19,"The path of the issue is from petlistadoptions_client, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement.","On 2024-05-26 22:57:04.825825, a latency issue at target node AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement, primarily caused by root cause node petlistadoptions_AWS::ECS::Fargate, affects latency_p99 with a severity of 0.095. The path of the issue is from petlistadoptions_client, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement."
lambda_step_priceLessThan55_AWS::Lambda,lambda_step_priceLessThan55_AWS::Lambda::Function,latency,0.1216700176624802,latency_Average,2024-05-26 22:57:02.588176,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function']",1_9,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceLessThan55_AWS::Lambda, to lambda_step_priceLessThan55_AWS::Lambda::Function.","On 2024-05-26 22:57:02.588176, a latency issue at target node lambda_step_priceLessThan55_AWS::Lambda, primarily caused by root cause node lambda_step_priceLessThan55_AWS::Lambda::Function, affects latency_Average with a severity of 0.122. The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceLessThan55_AWS::Lambda, to lambda_step_priceLessThan55_AWS::Lambda::Function."
PGSQL Query_remote,PetSite,latency,0.0821328357741199,latency_Average,2024-05-26 22:57:11.197820,"['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'PGSQL Query_remote']",1_47,"The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate, to PGSQL Query_remote.","On 2024-05-26 22:57:11.197820, a latency issue at target node PGSQL Query_remote, primarily caused by root cause node PetSite, affects latency_Average with a severity of 0.082. The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate, to PGSQL Query_remote."
lambda_step_readDDB,lambda_step_readDDB_AWS::Lambda,latency,0.1075113804653789,availability_Average,2024-05-26 22:56:54.481092,"['PetSite', 'AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']",0_24,"The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine to lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function, to lambda_step_readDDB.","On 2024-05-26 22:56:54.481092, a latency issue at target node lambda_step_readDDB, primarily caused by root cause node lambda_step_readDDB_AWS::Lambda, affects availability_Average with a severity of 0.108. The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine to lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function, to lambda_step_readDDB."
lambdastatusupdater_AWS::Lambda,payforadoption_AWS::ECS::Container,latency,0.0701840691038837,latency_p50,2024-05-26 22:56:56.614836,"['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda']",0_33,"The path of the issue is from payforadoption_AWS::ECS::Container, through PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage, to lambdastatusupdater_AWS::Lambda.","On 2024-05-26 22:56:56.614836, a latency issue at target node lambdastatusupdater_AWS::Lambda, primarily caused by root cause node payforadoption_AWS::ECS::Container, affects latency_p50 with a severity of 0.070. The path of the issue is from payforadoption_AWS::ECS::Container, through PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage, to lambdastatusupdater_AWS::Lambda."
lambda_step_priceGreaterThan55,Evidently_AWS::Evidently,latency,0.0851871657702299,latency_p95,2024-05-26 22:57:10.023014,"['lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']",1_42,The path of the issue is from lambda_step_priceGreaterThan55 to Evidently_AWS::Evidently.,"On 2024-05-26 22:57:10.023014, a latency issue at target node lambda_step_priceGreaterThan55, primarily caused by root cause node Evidently_AWS::Evidently, affects latency_p95 with a severity of 0.085. The path of the issue is from lambda_step_priceGreaterThan55 to Evidently_AWS::Evidently."
lambda_step_priceGreaterThan55,lambda_step_priceGreaterThan55_AWS::Lambda,latency,0.1215404793588801,latency_p50,2024-05-26 22:56:51.408431,"['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55']",0_11,"The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function, to lambda_step_priceGreaterThan55.","On 2024-05-26 22:56:51.408431, a latency issue at target node lambda_step_priceGreaterThan55, primarily caused by root cause node lambda_step_priceGreaterThan55_AWS::Lambda, affects latency_p50 with a severity of 0.122. The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function, to lambda_step_priceGreaterThan55."
SimpleNotificationService_AWS::SimpleNotificationService,PetSite,latency,0.0949473621453365,latency_p50,2024-05-26 22:57:15.077818,"['PetSite', 'SimpleNotificationService_AWS::SimpleNotificationService']",2_14,The path of the issue is from PetSite to SimpleNotificationService_AWS::SimpleNotificationService.,"On 2024-05-26 22:57:15.077818, a latency issue at target node SimpleNotificationService_AWS::SimpleNotificationService, primarily caused by root cause node PetSite, affects latency_p50 with a severity of 0.095. The path of the issue is from PetSite to SimpleNotificationService_AWS::SimpleNotificationService."
AWS::StepFunctions::StateMachine,lambda_step_readDDB_AWS::Lambda,latency,0.0832134250338743,latency_p90,2024-05-26 22:56:52.814323,"['PetSite', 'AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda']",0_17,"The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine, to lambda_step_readDDB_AWS::Lambda.","On 2024-05-26 22:56:52.814323, a latency issue at target node AWS::StepFunctions::StateMachine, primarily caused by root cause node lambda_step_readDDB_AWS::Lambda, affects latency_p90 with a severity of 0.083. The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine, to lambda_step_readDDB_AWS::Lambda."
lambda_step_priceGreaterThan55_AWS::Lambda,AWS::StepFunctions::StateMachine,latency,0.0559432054867289,latency_p50,2024-05-26 22:56:55.443193,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']",0_28,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function to lambda_step_priceGreaterThan55, to Evidently_AWS::Evidently.","On 2024-05-26 22:56:55.443193, a latency issue at target node lambda_step_priceGreaterThan55_AWS::Lambda, primarily caused by root cause node AWS::StepFunctions::StateMachine, affects latency_p50 with a severity of 0.056. The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function to lambda_step_priceGreaterThan55, to Evidently_AWS::Evidently."
petlistadoptions_AWS::ECS::Fargate,petInfo_AWS::DynamoDB::Table,latency,0.0659241324267231,availability_Average,2024-05-26 22:57:12.798311,"['petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', 'petInfo_AWS::DynamoDB::Table']",2_4,"The path of the issue is from petlistadoptions_AWS::ECS::Fargate, through PetSearch_AWS::ECS::Fargate, to petInfo_AWS::DynamoDB::Table.","On 2024-05-26 22:57:12.798311, a latency issue at target node petlistadoptions_AWS::ECS::Fargate, primarily caused by root cause node petInfo_AWS::DynamoDB::Table, affects availability_Average with a severity of 0.066. The path of the issue is from petlistadoptions_AWS::ECS::Fargate, through PetSearch_AWS::ECS::Fargate, to petInfo_AWS::DynamoDB::Table."
lambdastatusupdater_AWS::Lambda::Function,petInfo_AWS::DynamoDB::Table,latency,0.0360393263015183,latency_p50,2024-05-26 22:56:48.922001,"['lambdastatusupdater_AWS::Lambda::Function', 'petInfo_AWS::DynamoDB::Table']",0_0,The path of the issue is from lambdastatusupdater_AWS::Lambda::Function to petInfo_AWS::DynamoDB::Table.,"On 2024-05-26 22:56:48.922001, a latency issue at target node lambdastatusupdater_AWS::Lambda::Function, primarily caused by root cause node petInfo_AWS::DynamoDB::Table, affects latency_p50 with a severity of 0.036. The path of the issue is from lambdastatusupdater_AWS::Lambda::Function to petInfo_AWS::DynamoDB::Table."
payforadoption_AWS::ECS::Container,adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL,latency,0.0581354867037552,latency_p50,2024-05-26 22:56:54.238807,"['payforadoption_AWS::ECS::Container', 'adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL']",0_23,The path of the issue is from payforadoption_AWS::ECS::Container to adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL.,"On 2024-05-26 22:56:54.238807, a latency issue at target node payforadoption_AWS::ECS::Container, primarily caused by root cause node adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL, affects latency_p50 with a severity of 0.058. The path of the issue is from payforadoption_AWS::ECS::Container to adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL."
